name,SDx,SDy,SDz,SR,PFD_t,PFD_i,PFD_m,PFD_r,PFD_p,FA_ti,FA_im,FA_mr,FA_rp,FA_pt,FD_ti,FD_tm,FD_tr,FD_tp,FD_im,FD_ir,FD_ip,FD_mr,FD_mp,FD_rp
A,0,0,0,47.789722,81.78924561,40.10709763,32.84498215,32.26516342,33.57024765,0.26199764,0.106479369,0.114217594,0.107955948,0.544719875,77.67175293,87.16188812,99.05627441,108.5774918,13.71562672,28.04323769,40.78601456,14.42132187,27.11187172,13.55096626
A,0,0,0,47.83913,81.82243347,40.02328873,32.76361847,32.23059082,33.72011948,0.262149036,0.106383979,0.114652939,0.10870295,0.545906484,77.58649445,87.12310791,99.10597229,108.7809601,13.72613239,28.11796951,40.94742584,14.48786068,27.26346397,13.64290333
A,0,0,0,47.83913,81.82243347,40.02328873,32.76361847,32.23059082,33.72011948,0.262149036,0.106383979,0.114652939,0.10870295,0.545906484,77.58649445,87.12310791,99.10597229,108.7809601,13.72613239,28.11796951,40.94742584,14.48786068,27.26346397,13.64290333
A,0,0,0,47.917156,82.07363892,40.00626755,32.76010895,32.20959473,33.73390579,0.262051255,0.106264353,0.114385352,0.108851738,0.54609257,77.57181549,87.19985199,99.18965912,108.9459152,13.74026585,28.10650063,40.96081161,14.46197987,27.26053238,13.66007137
A,0,0,0,48.041534,82.39031219,40.00883865,32.78123474,32.21212006,33.76160431,0.261986136,0.106239058,0.11410667,0.108983882,0.54643631,77.60702515,87.34684753,99.338974,109.1737442,13.76817131,28.10647774,40.98052216,14.4331522,27.25045586,13.67498875
A,0,0,0,48.12263,82.63730621,40.00971222,32.79747009,32.21326065,33.78053665,0.261633337,0.106209829,0.113882393,0.109079741,0.546511114,77.59537506,87.43569946,99.43379974,109.3337479,13.79384232,28.10981941,40.99887848,14.4104805,27.24130058,13.68566513
A,0,0,0,48.12263,82.63730621,40.00971222,32.79747009,32.21326065,33.78053665,0.261633337,0.106209829,0.113882393,0.109079741,0.546511114,77.59537506,87.43569946,99.43379974,109.3337479,13.79384232,28.10981941,40.99887848,14.4104805,27.24130058,13.68566513
A,0,0,0,48.18608,82.81170654,40.01012039,32.81123734,32.21458817,33.79097748,0.261472464,0.106175527,0.113713369,0.109104373,0.546622813,77.60797119,87.51264954,99.50784302,109.4477081,13.80802345,28.10453987,41.00125885,14.39156246,27.22756767,13.68861389
A,0,0,0,48.222927,82.93752289,40.01215744,32.81969833,32.21188354,33.7949295,0.261124283,0.106142335,0.113564089,0.109136119,0.546503663,77.5878067,87.54723358,99.54235077,109.517601,13.8222971,28.10350227,41.00980759,14.37702656,27.22017288,13.69380093
A,0,0,0,48.248917,83.07245636,40.04153442,32.81187057,32.17518616,33.71901703,0.259470254,0.106167652,0.113272324,0.109027162,0.545191228,77.49480438,87.51541901,99.50160217,109.5059586,13.8571558,28.11135674,41.02899551,14.35424614,27.20010567,13.6900835
A,0,0,0,48.248917,83.07245636,40.04153442,32.81187057,32.17518616,33.71901703,0.259470254,0.106167652,0.113272324,0.109027162,0.545191228,77.49480438,87.51541901,99.50160217,109.5059586,13.8571558,28.11135674,41.02899551,14.35424614,27.20010567,13.6900835
A,0,0,0,48.23005,82.85458374,39.95294571,32.72600174,32.14240265,33.79384232,0.259325713,0.106097877,0.113809988,0.109405577,0.545589566,77.46530151,87.4345932,99.46884918,109.5147781,13.8444252,28.16882324,41.13799667,14.4282465,27.32112503,13.74745178
A,0,0,0,48.13234,82.68588257,39.96336746,32.75597382,32.14356995,33.73094177,0.259219468,0.105994828,0.113768518,0.109208874,0.545067847,77.41030121,87.34371948,99.33880615,109.3260269,13.82381535,28.14099121,41.0970459,14.42086697,27.29914856,13.73004341
A,0,0,0,48.13234,82.68588257,39.96336746,32.75597382,32.14356995,33.73094177,0.259219468,0.105994828,0.113768518,0.109208874,0.545067847,77.41030121,87.34371948,99.33880615,109.3260269,13.82381535,28.14099121,41.0970459,14.42086697,27.29914856,13.73004341
A,0,0,0,48.004295,82.47757721,39.97472382,32.79062271,32.15779877,33.68270111,0.259268522,0.105850503,0.113651372,0.108895622,0.54442513,77.32753754,87.22100067,99.17601013,109.0976791,13.79988861,28.10390854,41.03555679,14.40772057,27.26027679,13.70173645
